State,observations,avg_score,median_score,sd_score
IN,8,60.5,67,30.845235797908426
PA,24,30.75,25.5,32.98385639382842
CA,9,23.22222222222222,0,35.7343594380037
CT,6,18.5,18,18.716303053755034
MI,6,16.666666666666664,0,40.824829046386306
WI,11,10.636363636363637,0,17.241071470606034
TX,11,1.1818181818181819,0,3.9196474795109264
